,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
Squad,# Pl,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,2,28,28,2520,28.0,31,1.11,108,75,74.1,17,3,8,13,46.4,3,3,0,0,0.0
Aston Villa,2,29,29,2610,29.0,40,1.38,108,71,65.7,11,3,15,9,31.0,5,3,1,1,25.0
Brentford,3,30,30,2700,30.0,47,1.57,142,99,68.3,8,6,16,6,20.0,2,2,0,0,0.0
Brighton,2,29,29,2609,29.0,36,1.24,119,85,72.3,7,12,10,7,24.1,4,3,0,1,0.0
Burnley,2,27,27,2430,27.0,38,1.41,118,79,68.6,3,12,12,7,25.9,1,1,0,0,0.0
Chelsea,2,28,28,2520,28.0,19,0.68,80,66,82.5,17,8,3,13,46.4,5,5,0,0,0.0
Crystal Palace,2,29,29,2610,29.0,38,1.31,110,77,68.2,7,13,9,8,27.6,4,3,1,0,25.0
Everton,2,27,27,2430,27.0,47,1.74,132,90,65.2,7,4,16,5,18.5,1,1,0,0,0.0
Leeds United,2,30,30,2700,30.0,67,2.23,177,113,65.0,7,8,15,3,10.0,5,5,0,0,0.0
Leicester City,1,27,27,2430,27.0,46,1.70,133,94,69.9,10,6,11,5,18.5,8,6,1,1,14.3
Liverpool,2,29,29,2610,29.0,20,0.69,81,60,75.3,21,6,2,17,58.6,0,0,0,0,
Manchester City,2,29,29,2610,29.0,18,0.62,66,47,74.2,22,4,3,17,58.6,1,1,0,0,0.0
Manchester Utd,1,29,29,2610,29.0,40,1.38,138,101,72.5,14,8,7,7,24.1,5,2,3,0,60.0
Newcastle Utd,3,29,29,2610,29.0,49,1.69,122,78,63.9,7,10,12,4,13.8,6,5,1,0,16.7
Norwich City,2,29,29,2610,29.0,63,2.17,155,99,64.5,4,5,20,4,13.8,11,8,2,1,20.0
Southampton,3,29,29,2610,29.0,45,1.55,125,82,65.6,8,11,10,7,24.1,2,2,0,0,0.0
Tottenham,1,29,29,2610,29.0,36,1.24,109,76,68.8,16,3,10,11,37.9,2,2,0,0,0.0
Watford,2,29,29,2610,29.0,55,1.90,130,79,60.0,6,4,19,3,10.3,4,3,1,0,25.0
West Ham,2,30,30,2700,30.0,39,1.30,122,81,69.7,14,6,10,7,23.3,3,2,1,0,33.3
Wolves,1,30,30,2700,30.0,26,0.87,118,98,82.2,14,4,12,11,36.7,5,5,0,0,0.0