,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
Squad,# Pl,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Arsenal,2,28.0,31,3,0,1,0,28.0,0.24,-3.0,-0.11,156,453,34.4,777,129,41.6,37.9,176,73.9,57.1,235,21,8.9,20,0.71,15.1
Aston Villa,2,29.0,40,3,2,5,1,32.6,0.27,-6.4,-0.22,166,403,41.2,677,116,43.6,38.0,229,47.2,40.4,230,13,5.7,22,0.76,14.3
Brentford,3,30.0,47,2,1,7,2,46.9,0.32,+1.9,+0.06,268,699,38.3,1060,139,52.0,41.1,225,65.8,48.4,295,19,6.4,35,1.17,15.4
Brighton,2,29.0,36,3,0,5,0,37.0,0.29,+1.0,+0.03,157,473,33.2,1057,126,33.5,36.1,178,66.9,52.9,239,29,12.1,29,1.00,15.0
Burnley,2,27.0,38,1,1,7,1,37.1,0.32,+0.1,0.00,245,643,38.1,600,96,74.8,53.8,209,92.8,65.5,265,23,8.7,43,1.59,18.1
Chelsea,2,28.0,19,5,0,2,1,21.3,0.21,+3.3,+0.12,94,229,41.0,672,120,26.3,29.6,148,35.1,31.3,220,18,8.2,20,0.71,14.2
Crystal Palace,2,29.0,38,3,2,10,2,33.1,0.27,-2.9,-0.10,149,343,43.4,725,150,34.6,32.7,201,45.8,37.4,242,17,7.0,14,0.48,14.0
Everton,2,27.0,47,1,1,9,4,40.9,0.30,-2.1,-0.08,199,592,33.6,644,90,66.3,50.8,211,78.2,61.9,221,16,7.2,17,0.63,15.1
Leeds United,2,30.0,67,5,2,10,1,57.4,0.30,-8.6,-0.29,122,369,33.1,875,208,32.8,31.8,222,36.9,35.4,176,15,8.5,30,1.00,14.9
Leicester City,1,27.0,46,6,1,12,1,44.2,0.29,-0.8,-0.03,197,471,41.8,738,108,47.7,39.9,225,52.9,44.6,225,15,6.7,14,0.52,12.9
Liverpool,2,29.0,20,0,0,2,1,23.8,0.30,+4.8,+0.17,132,258,51.2,956,154,20.9,29.6,142,40.8,37.7,184,17,9.2,43,1.48,17.6
Manchester City,2,29.0,18,1,0,1,0,16.7,0.24,-1.3,-0.05,114,203,56.2,749,124,23.2,29.8,117,24.8,31.2,144,12,8.3,28,0.97,16.7
Manchester Utd,1,29.0,40,2,0,5,3,47.4,0.33,+10.4,+0.36,110,299,36.8,459,91,38.3,35.9,233,52.8,43.1,231,7,3.0,6,0.21,13.6
Newcastle Utd,3,29.0,49,5,0,4,2,44.2,0.33,-2.8,-0.10,261,593,44.0,660,93,55.8,44.5,266,84.6,60.6,246,23,9.3,8,0.28,12.7
Norwich City,2,29.0,63,8,0,9,2,60.4,0.34,-0.6,-0.02,195,488,40.0,807,146,46.7,39.9,231,48.1,42.1,253,13,5.1,16,0.55,13.3
Southampton,3,29.0,45,2,0,10,1,44.1,0.34,+0.1,0.00,173,505,34.3,699,110,49.4,41.4,205,78.0,56.0,277,28,10.1,15,0.52,13.3
Tottenham,1,29.0,36,2,0,5,1,35.0,0.31,0.0,0.00,131,274,47.8,505,111,36.8,34.3,210,41.9,35.1,271,17,6.3,20,0.69,14.6
Watford,2,29.0,55,3,1,8,3,46.0,0.33,-6.0,-0.21,247,665,37.1,708,90,66.7,49.8,235,82.1,59.5,288,13,4.5,26,0.90,15.2
West Ham,2,30.0,39,2,1,5,1,40.3,0.32,+2.3,+0.08,207,508,40.7,568,107,59.2,45.5,232,74.1,54.3,273,12,4.4,6,0.20,12.0
Wolves,1,30.0,26,5,1,1,1,35.1,0.26,+10.1,+0.34,130,397,32.7,665,160,43.3,39.6,212,51.4,43.0,274,28,10.2,34,1.13,15.6