,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Height,Height,Height,Body Parts,Body Parts,Body Parts,Body Parts,Body Parts,Outcomes,Outcomes,Outcomes,Outcomes,Outcomes
Squad,# Pl,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
vs Arsenal,27,28.0,13349,12065,1284,291,27,1654,333,318,132,60,38,5,9182,1488,2679,3595,8136,499,580,155,10730,41,222,348,297
vs Aston Villa,30,29.0,14244,12869,1375,309,19,1843,521,326,172,80,53,14,9739,1738,2767,4002,8563,550,622,170,11447,29,247,444,352
vs Brentford,28,30.0,15655,14249,1406,346,29,2092,453,405,180,103,46,7,10176,1998,3481,4454,9142,786,639,180,12274,59,225,461,396
vs Brighton,25,29.0,12459,11163,1296,317,30,1870,335,322,153,73,45,8,8094,1653,2712,3462,7312,568,552,199,9663,24,218,423,368
vs Burnley,22,27.0,15250,13884,1366,338,20,2069,431,379,183,60,60,11,10233,1980,3037,4505,8825,679,601,217,12110,38,247,437,362
vs Chelsea,25,28.0,11610,10324,1286,345,19,1918,304,290,128,55,41,8,7595,1581,2434,3330,6824,431,533,174,8906,51,202,419,333
vs Crystal Palace,24,29.0,13937,12582,1355,330,19,2313,422,339,152,56,80,6,9054,1819,3064,4142,8002,623,618,159,10975,39,242,401,363
vs Everton,32,27.0,14930,13621,1309,298,24,2000,356,298,150,71,46,11,10420,1916,2594,4524,8607,553,610,206,12170,18,228,412,346
vs Leeds United,29,30.0,12365,10872,1493,391,46,2359,292,261,143,59,71,3,7953,1709,2703,3445,7177,506,640,203,9451,36,235,486,355
vs Leicester City,25,27.0,13442,12194,1248,279,30,1862,428,349,166,95,49,8,9035,1706,2701,3923,7885,560,568,193,10727,51,206,388,335
vs Liverpool,27,29.0,11519,10228,1291,321,35,1876,316,243,96,58,28,1,6844,1631,3044,3280,6579,620,511,194,8454,115,242,417,284
vs Manchester City,25,29.0,9906,8753,1153,300,18,1413,247,190,82,33,34,5,6319,1295,2292,2602,6103,398,377,168,7534,67,213,309,255
vs Manchester Utd,25,29.0,13881,12574,1307,348,26,1796,397,311,153,81,43,6,9552,1639,2690,4147,8192,547,506,187,11047,49,241,402,313
vs Newcastle Utd,29,29.0,15887,14575,1312,327,22,2004,413,370,145,71,58,4,11214,1845,2828,4306,9810,564,582,190,13039,42,273,433,320
vs Norwich City,27,29.0,15947,14654,1293,297,29,2256,449,389,200,99,62,6,11117,1970,2860,4597,9562,605,575,212,13054,34,252,461,336
vs Southampton,25,29.0,13482,12098,1384,350,22,2298,348,372,143,82,37,1,8454,1973,3055,3709,7786,683,628,168,10335,44,262,499,348
vs Tottenham,25,29.0,14320,13058,1262,333,20,1907,454,396,143,59,51,10,10206,1504,2610,4350,8496,466,528,174,11681,27,209,420,327
vs Watford,30,29.0,16137,14700,1437,377,30,2288,516,419,169,88,60,4,11087,1959,3091,4476,9705,658,637,193,12972,42,250,466,324
vs West Ham,25,30.0,15566,14258,1308,291,17,1836,414,381,155,76,62,5,10754,1800,3012,4447,9359,638,535,205,12604,23,256,427,315
vs Wolves,24,30.0,15096,13746,1350,333,46,1944,376,396,169,77,62,10,10543,1782,2771,4381,8986,568,602,187,12130,62,205,441,361